.2, true
-6036.518066, 342.660675, 6362.816895
-6036.109375, 342.654968, 6391.213867
-6033.342285, 342.600586, 6488.303223
-6025.845215, 341.805481, 6513.710449
-6009.874023, 339.840088, 6525.585938
-5959.545898, 335.086670, 6549.665039
-5915.853516, 335.014160, 6562.177246
-5852.803711, 342.462769, 6558.626953
-5808.850098, 354.618073, 6541.643555
-5739.919922, 360.346100, 6515.476074
-5664.161133, 368.550507, 6505.127930
-5607.678711, 374.327606, 6517.175781
-5538.349121, 377.863678, 6565.476563
-5494.847168, 383.062286, 6616.434082
-5425.496582, 390.147552, 6723.945801
-5382.693359, 389.506287, 6806.564941
-5331.975098, 383.100677, 6898.148438
-5311.706543, 377.522705, 6950.208496
-5307.261719, 373.180603, 6987.462891
-5303.868652, 372.241791, 7031.179688
-5312.940430, 372.016357, 7088.746582
-5321.445801, 370.259155, 7099.147949
-5350.232422, 366.253632, 7120.506836
-5406.161621, 354.641510, 7141.953125
-5445.037109, 349.993652, 7170.884766
-5442.937500, 350.154816, 7185.090820
-5428.224121, 348.512421, 7206.496582
-5401.391113, 341.127960, 7232.362305
-5370.706055, 333.498199, 7254.681152
-5294.844727, 328.019501, 7280.396973
-5227.793945, 328.733612, 7275.813477
-5138.070801, 332.688629, 7224.564453
-5113.657715, 334.093811, 7208.666992
-5099.871094, 332.136200, 7213.335449
-5091.214355, 329.797699, 7226.124512
-5091.439941, 325.417511, 7243.560059
-5110.672363, 315.174805, 7268.234375
-5136.775879, 303.994476, 7290.479980
-5176.246094, 290.028778, 7308.587891
-5221.788086, 274.439331, 7328.072754
-5238.484863, 267.166748, 7341.577148
-5249.638184, 256.283783, 7368.918945
-5241.241211, 255.749481, 7385.068848
-5217.527344, 255.990814, 7392.554688
-5191.266113, 257.740326, 7373.665527
-5164.778809, 264.596069, 7361.303223
-5097.449707, 273.993561, 7347.079590
-5049.733398, 277.083282, 7345.281738
-4994.517090, 277.406921, 7346.719238
-4869.645996, 277.407959, 7349.860352
-4816.389648, 277.124695, 7351.420898
-4709.606934, 297.521667, 7363.009277
-4644.309570, 317.655487, 7377.152344
-4569.548828, 336.226288, 7391.311035
-4474.786621, 340.700684, 7386.236816
-4271.778809, 341.643219, 7376.053223
-3982.095703, 341.646088, 7361.640625
-3655.448975, 341.648163, 7344.580566
-3544.439453, 341.510803, 7339.908691
-3481.160400, 343.083893, 7332.720215
-3437.992920, 340.704224, 7317.072754
-3396.494873, 337.103760, 7272.957520
-3367.639648, 336.410431, 7225.493164
-3311.515625, 332.486450, 7183.057129
-3240.399414, 323.513977, 7170.191406
-3156.467529, 319.015503, 7154.912598
-3066.657959, 310.310669, 7097.005371
-3014.822266, 299.392883, 7042.229004
-2984.148438, 284.401581, 6963.777344
-2976.064941, 274.229095, 6903.049805
-2933.842041, 270.075867, 6854.858398
-2913.842285, 270.123688, 6851.197266
-2897.179443, 270.096039, 6865.729980
-2863.317871, 271.934479, 6908.414063
-2820.081055, 275.864990, 6946.450195
-2771.007080, 283.139618, 6976.031738
-2702.704834, 288.878204, 6988.139160
-2657.222900, 290.505859, 6985.129883
-2563.986816, 285.336578, 6970.135254
-2497.414307, 276.140503, 6945.439941
-2416.932861, 261.402557, 6905.627930
-2346.821045, 250.571838, 6885.682129
-2283.570068, 243.582199, 6890.747070
-2226.985596, 238.402344, 6911.912598
-2160.069092, 238.011566, 6968.905273
-2079.898193, 240.281769, 7080.375488
-2022.657837, 241.106781, 7150.887207
-1973.538330, 235.925369, 7192.489258
-1889.749146, 229.899368, 7234.941895
-1834.360474, 230.001572, 7235.346191
-1771.906982, 229.990875, 7226.377930
-1677.055664, 233.415787, 7246.785156
-1649.632935, 234.654373, 7256.437988
-1548.500732, 234.524139, 7290.249023
-1502.155029, 234.499924, 7306.429199
