.2, true
-4906.180664, 261.287354, 7700.376465
-4925.922852, 261.284332, 7699.949707
-4959.217773, 261.272766, 7699.714844
-4973.640137, 261.263275, 7696.191895
-4989.897461, 261.266479, 7680.581543
-5009.175781, 261.295563, 7655.437012
-5028.547363, 261.315735, 7642.632324
-5060.881836, 260.771027, 7636.069336
-5104.237305, 259.279663, 7651.482910
-5163.772949, 255.104584, 7686.091309
-5227.904297, 253.834167, 7736.953125
-5288.276855, 252.986389, 7778.680176
-5352.894531, 250.386765, 7805.086426
-5404.497559, 245.291885, 7818.481934
-5459.506836, 236.829422, 7822.158203
-5505.182617, 230.964432, 7824.683594
-5572.331543, 225.085602, 7838.728027
-5627.905273, 221.556580, 7844.545898
-5715.235352, 218.682129, 7843.379883
-5793.624023, 217.104187, 7840.869141
-5828.877441, 215.508484, 7839.176758
-5863.586914, 215.587296, 7843.090332
-5902.193848, 219.360764, 7858.806152
-6008.150391, 237.283951, 7931.289551
-6061.046875, 245.566818, 7960.499512
-6157.277832, 253.139313, 8025.963379
-6264.446289, 242.496765, 8108.306641
-6308.412109, 235.995392, 8145.505859
-6402.701172, 227.169998, 8232.973633
-6491.262695, 236.603958, 8338.528320
-6545.341309, 244.667114, 8435.782227
-6562.229980, 245.510818, 8507.966797
-6574.952637, 245.376495, 8574.566406
-6600.162598, 245.724747, 8641.115234
-6636.710449, 245.827164, 8709.754883
-6697.046387, 244.520279, 8793.656250
-6742.619629, 245.411911, 8855.130859
-6803.733887, 244.171967, 8938.199219
-6831.212402, 245.866501, 8981.017578
-6846.794922, 247.943878, 9075.878906
-6822.979492, 245.433517, 9175.655273
-6808.056152, 249.231232, 9216.320313
-6798.646484, 257.085938, 9266.076172
-6792.964844, 264.638977, 9315.619141
-6807.942871, 269.343323, 9382.385742
-6827.428711, 269.539337, 9429.151367
-6857.945801, 269.353577, 9488.212891
-6869.338867, 269.383759, 9494.252930
-6886.413574, 269.523224, 9494.304688
-6907.146973, 269.527985, 9485.506836
-6956.664063, 273.527893, 9460.332031
-7017.761230, 286.143646, 9455.024414
-7078.015625, 290.729492, 9456.882813
-7128.378418, 295.145782, 9480.290039
-7216.167480, 302.174225, 9567.626953
-7248.988770, 307.819550, 9610.083008
-7282.825195, 312.937195, 9633.078125
-7321.844238, 317.715515, 9653.172852
-7350.854492, 318.983398, 9687.006836
-7376.450195, 319.341309, 9723.466797
-7403.815430, 319.981354, 9747.135742
-7449.443359, 322.848389, 9761.124023
-7517.423828, 325.575195, 9771.371094
-7541.458496, 325.268250, 9773.048828
-7555.689941, 325.226654, 9766.330078
-7564.056152, 325.193817, 9752.000000
-7557.639160, 326.584534, 9706.034180
-7529.847168, 319.332489, 9618.847656
-7498.059082, 303.953857, 9561.068359
-7433.783203, 277.786957, 9492.359375
-7372.809082, 266.298065, 9431.302734
-7332.162109, 263.928345, 9372.979492
-7321.781738, 262.843384, 9334.174805
-7322.583496, 256.332153, 9282.729492
-7339.187500, 250.724854, 9199.239258
-7353.701660, 250.792267, 9188.226563
-7376.851563, 250.712692, 9185.099609
-7443.939453, 252.889542, 9211.731445
-7479.603516, 258.985474, 9242.313477
-7515.741211, 265.860992, 9260.640625
-7551.690918, 268.169373, 9260.570313
-7565.343750, 268.428864, 9258.166016
-7586.035645, 268.869598, 9242.534180
-7630.113281, 270.548279, 9169.359375
-7651.671875, 283.981171, 9094.174805
-7668.094727, 293.188965, 9049.874023
-7692.581543, 300.149475, 9022.059570
-7725.183105, 305.741425, 9006.788086
-7806.622070, 320.403870, 9004.733398
-7867.165039, 321.654999, 9010.912109
-7948.965820, 320.372467, 9021.753906
-8020.484863, 318.079620, 9021.729492
-8090.192383, 314.451202, 9000.673828
-8138.733398, 309.188324, 8975.145508
-8210.683594, 301.975037, 8936.637695
-8268.319336, 302.304443, 8916.978516
-8313.046875, 302.142395, 8908.680664
-8392.955078, 305.165100, 8890.421875
-8417.972656, 303.064056, 8874.792969
-8433.664063, 303.369690, 8853.680664
-8443.345703, 307.748077, 8807.855469
-8440.151367, 311.185852, 8754.358398
-8442.392578, 312.875488, 8695.023438
-8460.579102, 312.330902, 8610.543945
-8481.110352, 310.497437, 8549.260742
-8496.422852, 302.102722, 8480.834961
-8506.914063, 293.260559, 8356.552734
-8510.996094, 289.887634, 8263.295898
-8508.359375, 284.926941, 8189.276367
-8506.525391, 281.183350, 8076.583008
-8503.758789, 284.777069, 8007.929199
-8498.055664, 283.510223, 7899.166992
-8505.695313, 259.576569, 7742.851074
-8507.779297, 260.078827, 7683.344727
-8513.910156, 259.635986, 7628.687012
-8533.326172, 251.586456, 7572.783203
-8561.713867, 247.052429, 7541.017578
-8612.026367, 241.418121, 7513.222168
-8668.049805, 240.713501, 7501.754883
-8739.724609, 240.341202, 7495.631348
-8890.018555, 240.243317, 7484.120605
