.2, true
3207.545898, 484.168060, 2191.951904
3216.041016, 484.052979, 2189.266602
3251.937744, 484.097107, 2182.285400
3287.971924, 483.686096, 2171.494141
3332.163086, 482.607971, 2147.531494
3356.927979, 483.481537, 2135.466553
3390.887695, 487.263947, 2125.556885
3439.070313, 492.902374, 2112.401611
3501.223633, 494.306702, 2091.783447
3552.792969, 499.314423, 2074.361816
3591.838379, 506.072968, 2067.689697
3629.882813, 511.929077, 2065.909912
3670.083984, 515.518738, 2069.937988
3710.096191, 517.667969, 2080.722656
3750.447266, 519.212219, 2097.854980
3785.937744, 520.090637, 2116.010254
3824.072266, 520.273682, 2139.524658
3860.313965, 520.247070, 2168.316162
3890.069336, 520.344299, 2196.673584
3922.262451, 519.623474, 2238.980957
3939.626465, 511.304688, 2344.315918
3936.686279, 505.657532, 2395.876709
3918.594971, 498.783539, 2455.396240
3911.957520, 476.098389, 2557.272461
3931.990479, 458.478210, 2621.333008
3898.902832, 437.909973, 2698.652100
3886.236816, 431.016144, 2725.088379
3877.870850, 423.964661, 2753.231934
3879.062988, 416.989441, 2784.878418
3901.583008, 408.920074, 2828.687012
3935.158447, 401.562469, 2869.828125
3955.967285, 395.572266, 2905.560547
3961.049072, 387.059326, 2954.628174
3944.468994, 381.438904, 2984.070557
3926.139160, 377.361389, 3005.159912
3894.427490, 369.414581, 3052.062988
3889.857666, 364.586548, 3082.205322
3909.608398, 358.531860, 3133.987305
3957.062988, 354.948700, 3181.432861
3995.079590, 352.707428, 3218.881348
4023.836426, 350.798798, 3256.449707
4042.711670, 348.546875, 3312.576416
4045.783203, 346.669373, 3375.200684
4045.863770, 338.307281, 3513.561279
4044.635254, 334.604553, 3601.791504
4043.785889, 334.609375, 3639.743408
4043.763184, 334.982513, 3668.928467
4043.854736, 334.869568, 3708.077637
4043.901855, 334.872192, 3749.053223
4043.505127, 334.754944, 3782.318359
4042.591064, 335.506927, 3880.075684
4042.026855, 336.817749, 3904.208496
4035.907471, 337.259918, 3916.043213
3998.808838, 337.122162, 3936.370117
3971.047852, 339.292908, 3938.398438
3852.689697, 348.561066, 3931.008789
3779.634277, 347.682343, 3922.954102
3699.710693, 344.530243, 3914.345947
3650.148193, 345.409576, 3916.243164
3597.326904, 345.783478, 3925.635254
3539.534424, 344.598969, 3947.352539
3491.865723, 344.091980, 3973.871338
3451.409180, 346.162201, 4003.641602
3414.622559, 349.862671, 4036.906494
3376.545410, 351.552673, 4074.163818
3337.731445, 350.522797, 4116.001953
3307.729980, 347.898834, 4146.561035
3261.527344, 340.136017, 4182.498047
3203.011719, 328.712158, 4210.066406
3149.727783, 321.128571, 4218.803223
3094.160889, 312.874390, 4220.057129
3043.771729, 302.235870, 4214.417969
3002.068604, 291.667480, 4210.848145
2968.766602, 282.079498, 4213.254395
2830.463623, 244.117691, 4264.402344
2798.648438, 238.568283, 4292.035645
2742.547607, 232.180008, 4348.772949
2727.478027, 231.947449, 4365.998535
2723.932617, 232.190872, 4380.062012
2718.254150, 232.267838, 4395.456055
2733.004150, 231.968262, 4422.747070
2755.864014, 233.851807, 4474.052734
2759.567139, 237.389603, 4523.377441
2752.397461, 241.454285, 4565.314453
2736.577393, 244.506439, 4619.330566
2720.229736, 244.778656, 4672.596191
2698.723633, 245.014618, 4724.789063
2672.292969, 245.144562, 4771.943359
2630.715576, 245.013641, 4825.690918
2592.081055, 244.846649, 4864.207031
2548.041260, 244.543335, 4895.578613
2506.354980, 244.478485, 4917.592773
2451.700195, 244.863251, 4940.263672
2399.936035, 244.298706, 4960.885254
2340.592529, 244.506699, 4986.500977
2278.092773, 244.518616, 5013.496582
2212.845703, 244.516541, 5042.568359
2153.194824, 244.515579, 5069.046387
2112.562500, 244.515152, 5087.000488
2059.276855, 244.229172, 5111.391113
2022.592285, 245.424713, 5130.101074
1980.901855, 244.232788, 5157.304688
1927.837402, 241.728760, 5190.796875
1891.444580, 241.350052, 5216.481934
1851.229736, 241.369644, 5249.247559
1814.371460, 240.985199, 5280.465332
1765.898926, 233.214783, 5306.331543
1698.330811, 232.317947, 5320.959961
1654.340576, 232.317978, 5320.013672
1599.542114, 232.004349, 5309.519043
1523.998657, 220.797958, 5282.907227
1466.592041, 212.621155, 5261.800293
1409.863892, 208.661957, 5249.117188
1343.123047, 208.584732, 5238.249023
1270.125244, 211.078964, 5230.556152
1218.910156, 216.386108, 5228.515625
1131.235596, 226.117096, 5233.956055
1069.113403, 225.600952, 5228.144531
999.812012, 227.114838, 5232.604004
926.520935, 236.649292, 5262.197754
875.916809, 246.479065, 5293.489746
819.715088, 254.355667, 5319.434082
778.221313, 258.126465, 5328.900879
735.340027, 261.286774, 5322.865234
710.988342, 261.075806, 5311.514648
698.407898, 261.230835, 5302.687012
690.813293, 260.821503, 5290.429688
688.017029, 259.924988, 5261.975586
693.451721, 260.321960, 5207.908691
695.149414, 261.186340, 5149.263672
687.071594, 261.466644, 5120.297852
677.289673, 261.477600, 5108.996094
667.711304, 261.293976, 5103.272949
651.848206, 261.385803, 5102.571777
630.223633, 263.237427, 5123.623535
616.095703, 263.963928, 5148.237793
602.679749, 263.931244, 5155.597168
565.965515, 263.637756, 5157.334961
543.634644, 263.642365, 5159.707520
525.518616, 263.641022, 5157.201660
503.508362, 263.644104, 5147.244629
484.509705, 263.644348, 5142.337402
