.2, true
-12714.760742, 218.814163, 15033.443359
-12695.733398, 218.827805, 14972.508789
-12689.032227, 216.682526, 14950.615234
-12659.554688, 216.673264, 14949.569336
-12577.806641, 216.675308, 14975.063477
-12573.232422, 217.604767, 14995.963867
-12593.100586, 218.831116, 15059.430664
-12586.309570, 218.815536, 15096.566406
-12568.856445, 218.827377, 15127.042969
-12545.190430, 218.827820, 15152.606445
-12531.792969, 216.886749, 15167.168945
-12535.518555, 216.673096, 15187.385742
-12606.199219, 216.675369, 15252.245117
-12624.047852, 217.058197, 15249.931641
-12672.327148, 218.831085, 15197.656250
-12709.377930, 218.817230, 15178.838867
-12796.164063, 216.903427, 15196.684570
-12813.840820, 216.673080, 15174.969727
-12833.320313, 216.661926, 15087.481445
-12779.534180, 218.828125, 15066.017578
-12752.404297, 218.834305, 15059.874023
-12723.453125, 218.818008, 15038.333984
-12711.743164, 218.831894, 15022.823242
-12690.794922, 217.105728, 14954.612305
-12665.017578, 216.673019, 14947.766602
-12578.593750, 216.675644, 14974.655273
-12573.361328, 217.061050, 14991.043945
-12576.389648, 218.863449, 15006.269531
-12593.034180, 218.830963, 15059.249023
-12588.082031, 218.815826, 15100.111328
-12571.614258, 218.827820, 15123.743164
-12531.036133, 216.762756, 15167.912109
-12534.511719, 216.680313, 15186.399414
-12614.916992, 216.675812, 15260.303711
