.2, true
-12384.843750, 213.974365, 15055.309570
-12369.258789, 213.974213, 15079.396484
-12340.475586, 213.974777, 15105.140625
-12290.794922, 213.973068, 15102.349609
-12277.488281, 214.007629, 15116.209961
-12247.374023, 213.374054, 15153.456055
-12211.113281, 210.439957, 15192.088867
-12147.086914, 211.456390, 15214.398438
-12074.157227, 217.329132, 15216.455078
-11971.560547, 227.320313, 15201.144531
-11887.165039, 230.142502, 15169.666016
-11804.128906, 228.129669, 15132.389648
-11706.433594, 236.553146, 15128.222656
-11681.748047, 239.585373, 15133.542969
-11640.523438, 244.616867, 15153.765625
-11582.808594, 245.659241, 15180.081055
-11502.341797, 238.881104, 15209.038086
-11422.999023, 235.667328, 15230.340820
-11409.314453, 235.142090, 15240.306641
-11344.594727, 231.851303, 15291.065430
-11305.209961, 229.395294, 15308.216797
-11270.622070, 228.140686, 15311.424805
-11217.813477, 228.140686, 15311.342773
-11102.597656, 228.140686, 15310.693359
-11077.037109, 228.140686, 15304.118164
-11042.565430, 228.140686, 15285.458008
-11011.719727, 228.137787, 15257.121094
-11004.904297, 228.140686, 15231.386719
-10984.206055, 228.140686, 15178.289063
-10967.175781, 228.140686, 15081.933594
-10972.578125, 237.228149, 14899.854492
-10980.058594, 238.016769, 14735.581055
-10982.318359, 242.425491, 14662.482422
-10995.493164, 246.944199, 14610.995117
-11013.417969, 249.180573, 14588.399414
-11041.857422, 250.265656, 14576.814453
-11092.750977, 252.850998, 14554.041992
-11165.341797, 260.685577, 14509.685547
-11238.819336, 263.189087, 14455.291992
-11246.263672, 262.435913, 14412.577148
-11263.510742, 258.062347, 14375.305664
-11304.080078, 249.132111, 14309.750000
-11333.710938, 245.537918, 14286.833008
-11415.791016, 236.774857, 14228.130859
-11513.898438, 229.609665, 14182.461914
-11607.320313, 226.432968, 14091.267578
-11645.536133, 223.507477, 14075.409180
-11707.140625, 216.394775, 14076.202148
-11775.788086, 211.137268, 14090.345703
-11863.988281, 211.694931, 14143.894531
-11922.273438, 212.069595, 14194.760742
-12040.057617, 213.418503, 14281.996094
-12083.869141, 214.086990, 14293.721680
-12179.142578, 215.406357, 14291.564453
-12310.973633, 218.135147, 14263.428711
-12394.892578, 221.128357, 14284.048828
-12481.357422, 219.431671, 14356.403320
-12529.010742, 212.379318, 14430.886719
-12569.449219, 209.521988, 14534.018555
-12569.886719, 209.437149, 14578.761719
-12559.214844, 209.613281, 14608.576172
-12539.051758, 209.814224, 14632.088867
-12496.458008, 210.111679, 14669.474609
-12343.973633, 210.745987, 14742.103516
-12314.934570, 210.928284, 14764.008789
-12288.551758, 211.124527, 14793.100586
-12267.543945, 211.449280, 14830.871094
-12253.603516, 212.295624, 14884.958008
-12258.435547, 212.751205, 14922.214844
-12278.801758, 213.894897, 14967.106445
-12290.534180, 214.007370, 14992.112305
-12325.008789, 213.918381, 15020.819336
-12372.494141, 213.972977, 15052.570313
