.2, true
-11944.681641, 335.654724, 14922.583008
-11963.326172, 334.727692, 14906.191406
-11991.746094, 330.450775, 14876.072266
-12008.541992, 327.441284, 14850.720703
-12025.617188, 323.686554, 14799.140625
-12043.063477, 320.347412, 14731.130859
-12016.981445, 320.182770, 14702.543945
-11996.925781, 317.990173, 14676.277344
-11952.789063, 312.242371, 14613.571289
-11928.426758, 310.451660, 14586.116211
-11901.417969, 306.785370, 14560.699219
-11870.321289, 300.943604, 14534.786133
-11801.226563, 293.168396, 14488.447266
-11777.480469, 293.895844, 14476.112305
-11742.934570, 296.153229, 14462.963867
-11701.653320, 301.380096, 14440.482422
-11682.745117, 301.986786, 14424.629883
-11659.652344, 301.760773, 14404.623047
-11627.787109, 302.379425, 14386.207031
-11614.942383, 302.816620, 14380.302734
-11587.192383, 303.870819, 14376.097656
-11547.146484, 305.625000, 14377.913086
-11522.300781, 306.881378, 14385.158203
-11494.894531, 308.312897, 14397.591797
-11463.451172, 310.329651, 14417.899414
-11434.749023, 312.701996, 14444.067383
-11419.380859, 313.854767, 14463.248047
-11414.914063, 313.698608, 14495.225586
-11420.488281, 313.817047, 14516.424805
-11446.898438, 314.845184, 14549.902344
-11477.651367, 315.596436, 14578.822266
-11486.902344, 315.714050, 14590.034180
-11507.410156, 315.627136, 14622.695313
-11510.423828, 314.981537, 14648.040039
-11512.257813, 313.683838, 14678.791992
-11517.612305, 312.535126, 14700.205078
-11524.809570, 310.855713, 14727.590820
-11535.837891, 305.696045, 14766.310547
-11551.189453, 305.545441, 14780.945313
-11561.220703, 305.558350, 14788.166016
-11595.900391, 307.359009, 14795.409180
-11637.896484, 310.800232, 14803.499023
-11679.329102, 317.355225, 14823.233398
-11708.343750, 323.513428, 14849.462891
-11736.142578, 329.160461, 14880.064453
-11798.261719, 334.581451, 14912.381836
-11874.394531, 336.672394, 14928.340820
-11960.843750, 334.954651, 14909.647461
-12008.349609, 327.443115, 14850.608398
-12035.159180, 321.639038, 14761.229492
