.2, true
-8984.343750, 709.746887, 11381.554688
-9030.978516, 709.743835, 11382.149414
-9122.576172, 709.744019, 11382.298828
-9181.243164, 709.737976, 11381.488281
-9248.839844, 709.531555, 11376.410156
-9290.996094, 708.079285, 11363.141602
-9344.911133, 705.331116, 11329.217773
-9419.051758, 695.313354, 11277.930664
-9493.992188, 684.967957, 11231.733398
-9580.139648, 682.355713, 11191.244141
-9707.721680, 679.744690, 11151.144531
-9767.495117, 672.414978, 11129.148438
-9831.587891, 660.720642, 11094.941406
-9920.449219, 639.654907, 11026.097656
-9941.087891, 636.433594, 11002.917969
-9949.010742, 633.592590, 10976.393555
-9942.978516, 630.851318, 10958.283203
-9929.250000, 629.180237, 10952.482422
-9905.125977, 627.950806, 10954.270508
-9870.299805, 625.385986, 10961.733398
-9803.127930, 617.766357, 10980.892578
-9698.933594, 601.323792, 11011.030273
-9625.662109, 588.694580, 11030.321289
-9570.282227, 575.101807, 11038.691406
-9525.025391, 562.096497, 11039.404297
-9480.870117, 550.320801, 11029.079102
-9453.820313, 541.824158, 11002.973633
-9441.897461, 536.877380, 10982.886719
-9434.172852, 530.056213, 10948.931641
-9440.281250, 527.235779, 10931.666016
-9457.505859, 522.810547, 10907.927734
-9499.082031, 517.181030, 10879.716797
-9534.457031, 509.822327, 10862.354492
-9634.459961, 486.098175, 10814.713867
-9727.738281, 458.858124, 10766.918945
-9822.104492, 434.931183, 10716.103516
-9896.818359, 424.975281, 10668.833008
-9953.482422, 421.515930, 10620.331055
-9984.124023, 421.472778, 10579.121094
-10001.115234, 423.826172, 10520.926758
-10011.749023, 424.788147, 10465.659180
-10028.682617, 424.794495, 10424.255859
-10055.226563, 428.759674, 10404.445313
-10078.519531, 433.587708, 10398.022461
-10123.674805, 440.255310, 10390.815430
-10152.240234, 440.500610, 10375.278320
-10187.141602, 439.738831, 10355.067383
-10203.262695, 439.750977, 10338.168945
-10210.609375, 439.619934, 10323.611328
-10213.858398, 439.504272, 10306.660156
-10215.211914, 439.047546, 10281.093750
-10210.533203, 437.937561, 10256.513672
-10201.612305, 435.967194, 10231.125977
-10184.877930, 432.675354, 10196.127930
-10167.870117, 429.769745, 10157.734375
-10161.640625, 429.172729, 10124.529297
-10165.231445, 431.062683, 10088.217773
-10177.243164, 434.845398, 10049.637695
-10200.152344, 439.722626, 10005.958008
-10232.375000, 443.935455, 9973.932617
-10282.353516, 449.366974, 9932.971680
-10322.051758, 451.279388, 9893.959961
-10365.292969, 449.089874, 9846.392578
-10400.645508, 444.199707, 9798.769531
-10405.196289, 444.449341, 9767.809570
-10395.066406, 446.532684, 9741.240234
-10360.875000, 449.754852, 9687.791992
-10342.517578, 449.605316, 9669.706055
-10334.875977, 449.617920, 9665.167969
-10328.333008, 449.581818, 9665.265625
-10314.629883, 449.668365, 9670.247070
-10293.282227, 449.444458, 9674.793945
-10259.618164, 445.395752, 9660.500000
-10234.760742, 441.256531, 9640.906250
-10220.708984, 438.045654, 9620.485352
-10215.016602, 433.334290, 9580.796875
-10227.564453, 430.233704, 9543.883789
-10254.651367, 426.103912, 9508.131836
-10260.321289, 422.039581, 9479.282227
-10254.737305, 416.486511, 9444.984375
-10240.785156, 411.949097, 9416.070313
-10214.193359, 409.494354, 9391.870117
-10184.415039, 404.407410, 9385.669922
-10156.054688, 398.596558, 9395.204102
-10125.923828, 394.506927, 9413.313477
-10101.311523, 389.220581, 9437.268555
-10087.037109, 385.346710, 9460.274414
-10069.921875, 378.148193, 9504.705078
-10049.946289, 368.760742, 9540.860352
-10022.550781, 362.411072, 9561.204102
-9968.190430, 354.372681, 9572.578125
-9937.640625, 351.175690, 9567.270508
-9872.265625, 347.359222, 9525.957031
-9844.978516, 343.049866, 9492.911133
-9824.167969, 336.441864, 9452.444336
-9817.592773, 331.657684, 9427.593750
-9823.643555, 325.591553, 9397.171875
-9849.068359, 319.634491, 9364.039063
-9875.675781, 312.161133, 9314.409180
-9882.987305, 305.138702, 9256.801758
-9878.226563, 303.124176, 9173.627930
-9859.955078, 302.054108, 9118.569336
-9821.038086, 302.668884, 9063.784180
-9770.132813, 302.227142, 9014.617188
-9696.686523, 299.669861, 8983.829102
-9652.269531, 295.482452, 8985.742188
-9615.742188, 291.179840, 9009.442383
-9604.765625, 289.764740, 9059.763672
-9592.876953, 289.762451, 9123.759766
-9587.458984, 289.762207, 9127.427734
-9580.993164, 289.753693, 9128.243164
-9552.663086, 289.719452, 9120.196289
-9509.005859, 288.952606, 9105.592773
-9469.207031, 286.696777, 9082.554688
-9434.718750, 282.461151, 9038.430664
-9415.152344, 278.695618, 8983.480469
-9421.236328, 274.860413, 8912.577148
-9440.942383, 270.884369, 8838.434570
-9487.908203, 261.751648, 8659.185547
-9512.470703, 254.823990, 8439.036133
-9505.993164, 254.286301, 8329.403320
-9511.742188, 254.262894, 8298.701172
-9518.139648, 254.272293, 8280.442383
-9529.409180, 254.422211, 8268.181641
-9545.191406, 254.094208, 8257.211914
-9578.514648, 250.509933, 8240.709961
-9737.853516, 253.960541, 8151.775879
-9782.401367, 255.228577, 8122.026367
-9879.958008, 265.149200, 8058.608887
-9962.671875, 270.460327, 7998.827637
-9993.121094, 271.226898, 7974.583984
-10040.347656, 270.833710, 7934.946777
-10091.020508, 267.061340, 7887.697754
-10113.406250, 263.813232, 7852.905762
-10138.058594, 258.921173, 7793.295410
-10131.247070, 257.172333, 7748.006348
-10116.544922, 256.036530, 7696.231934
-10117.881836, 254.954254, 7655.496582
-10136.328125, 254.068970, 7592.978027
-10159.416992, 254.864334, 7550.727051
-10182.429688, 257.292999, 7480.222168
-10187.004883, 259.389526, 7433.559082
-10201.771484, 262.809845, 7367.119629
-10226.342773, 263.941833, 7313.954102
-10247.741211, 264.060608, 7274.482422
-10267.430664, 263.809723, 7236.935547
-10301.089844, 264.964203, 7164.662109
-10323.760742, 269.218109, 7095.608887
-10355.209961, 275.400055, 7034.288086
-10387.335938, 277.447632, 6987.275879
-10436.581055, 279.663330, 6928.166504
