.2, true
-9592.212891, 289.757782, 9120.235352
-9577.509766, 289.790070, 9166.346680
-9548.756836, 289.592651, 9209.219727
-9510.611328, 288.665253, 9242.435547
-9456.202148, 284.892181, 9253.166992
-9398.490234, 278.818390, 9243.388672
-9339.680664, 270.063232, 9216.029297
-9299.182617, 266.732330, 9182.133789
-9261.539063, 265.395355, 9153.548828
-9209.844727, 265.189301, 9139.471680
-9135.678711, 260.370361, 9165.918945
-9082.122070, 256.268372, 9197.110352
-9022.427734, 254.733780, 9215.195313
-8976.803711, 254.598999, 9221.191406
-8962.960938, 254.491745, 9228.186523
-8950.580078, 254.631165, 9240.817383
-8942.702148, 254.616837, 9261.810547
-8948.681641, 254.643829, 9297.079102
-8974.972656, 254.644806, 9421.984375
-8985.953125, 254.585098, 9522.723633
-8984.913086, 257.043091, 9596.485352
-8967.336914, 257.119690, 9688.674805
-8942.967773, 260.549469, 9762.576172
-8897.701172, 266.084961, 9857.138672
-8855.617188, 269.752716, 9911.108398
-8787.530273, 275.631287, 9956.622070
-8703.341797, 282.980682, 9992.252930
-8611.849609, 292.050629, 10012.177734
-8500.757813, 301.782318, 10023.268555
-8408.641602, 305.541687, 10018.702148
-8317.719727, 307.420502, 10005.422852
-8216.250000, 311.977570, 9987.922852
-8155.076172, 317.712494, 9972.779297
-8070.198242, 320.976440, 9945.449219
-7931.507324, 320.971466, 9895.979492
-7822.755371, 325.958160, 9859.364258
-7757.717285, 325.363556, 9835.000000
-7704.083008, 325.066223, 9814.831055
-7625.757324, 325.255249, 9790.161133
-7470.600586, 324.080780, 9762.717773
-7405.479492, 320.382324, 9755.584961
-7361.332031, 319.099670, 9706.291992
-7317.018066, 317.160278, 9647.679688
-7289.619629, 313.834869, 9634.877930
-7248.564453, 307.920837, 9611.040039
-7182.327148, 299.292206, 9524.920898
-7151.297852, 296.994324, 9495.819336
-7115.148438, 293.963409, 9471.494141
-7074.519043, 290.342194, 9453.820313
-7041.400391, 287.287384, 9449.429688
-7005.698242, 283.961090, 9451.709961
-6967.271484, 275.477570, 9459.040039
-6899.778809, 269.486694, 9484.396484
-6852.751953, 269.377563, 9519.114258
-6779.290039, 268.143097, 9565.990234
-6738.834473, 265.557800, 9570.174805
-6690.310547, 257.249878, 9562.917969
-6622.921387, 246.845093, 9543.502930
