.2, true
3427.770020, 1337.058960, -5693.523438
3421.054199, 1337.076172, -5689.311035
3412.240967, 1337.276978, -5681.913574
3402.455811, 1337.273438, -5662.242188
3402.303223, 1337.271362, -5639.992676
3410.632813, 1337.281128, -5607.248047
3426.653320, 1336.720337, -5587.380371
3449.455322, 1334.559814, -5564.380859
3492.336426, 1331.618652, -5511.280273
3512.272705, 1333.969727, -5482.232422
3586.289063, 1346.850464, -5400.573242
3642.112061, 1346.943359, -5399.236328
3648.742432, 1346.943970, -5398.910156
3662.892578, 1346.940674, -5397.427246
3677.792236, 1346.943604, -5394.641602
3700.020996, 1346.942627, -5390.999023
3718.043945, 1346.943848, -5390.217285
3727.758301, 1346.941528, -5387.623047
3739.918213, 1346.941406, -5380.978516
3745.530762, 1346.943115, -5356.153320
3745.608154, 1346.939941, -5350.939941
3746.140381, 1346.835205, -5316.679688
3746.072510, 1346.436890, -5276.117188
3745.933594, 1345.276978, -5244.566406
3746.731934, 1344.529053, -5233.484375
3749.551514, 1342.874268, -5209.483398
3754.901611, 1339.597290, -5178.805664
3761.027832, 1334.281982, -5144.049805
3765.163574, 1328.757568, -5113.809570
3766.128906, 1325.410034, -5083.277344
3763.600098, 1318.720581, -5050.867188
3750.073242, 1309.039795, -5013.817383
3700.578613, 1293.837891, -4955.635742
3679.402588, 1287.668091, -4936.541016
3628.799805, 1274.855835, -4905.388672
3538.268066, 1253.986450, -4870.136230
3513.161621, 1245.898682, -4854.239746
3411.722656, 1214.949463, -4779.621582
3396.075195, 1209.795166, -4765.806641
3367.644043, 1200.309570, -4738.286621
3322.162842, 1189.215454, -4698.333008
3247.437988, 1175.169922, -4690.863281
3223.462891, 1172.656738, -4742.945313
3216.328857, 1170.567017, -4773.217285
3202.277832, 1162.620728, -4824.080078
3181.505127, 1149.634644, -4874.662109
3136.125732, 1139.408691, -4939.557129
3094.638184, 1133.356689, -4985.078613
3053.216309, 1124.671387, -5028.664551
3021.923828, 1117.026245, -5061.960449
2958.253906, 1102.845947, -5132.476563
2915.300293, 1091.417236, -5202.836914
2905.197998, 1090.149048, -5205.896973
2891.295166, 1089.185547, -5205.842773
2880.211426, 1088.968262, -5201.724609
2871.968994, 1088.739136, -5193.737793
2869.437500, 1088.096436, -5185.741211
2868.779053, 1087.783936, -5177.543945
2891.787354, 1082.195801, -5121.519043
2901.239502, 1078.738281, -5096.466797
2917.073975, 1075.461670, -5062.109375
2928.575684, 1073.644287, -5039.064453
2943.600586, 1071.998169, -5011.045410
2961.669434, 1069.055908, -4979.023438
2988.052490, 1063.691284, -4937.854004
3014.520996, 1058.012329, -4896.215820
3042.584473, 1051.037231, -4837.460449
3054.010742, 1045.642578, -4773.765137
3052.375244, 1043.614624, -4760.681152
3043.815918, 1040.870117, -4749.071777
3026.625977, 1037.008301, -4740.421875
3005.306152, 1031.510986, -4740.978027
2988.181396, 1027.888794, -4751.149902
2960.129150, 1022.516541, -4788.971191
2937.726074, 1018.992310, -4821.072754
2914.905762, 1017.492310, -4848.672363
2891.529297, 1017.281128, -4875.454102
2865.764648, 1016.019653, -4903.148926
2846.621582, 1013.502380, -4925.253906
2830.208008, 1011.129272, -4954.684082
2815.216553, 1009.171021, -4985.614746
2801.075195, 1008.279602, -5013.385742
2772.618408, 1007.798584, -5061.096680
2742.483398, 1006.723389, -5123.937012
2723.730469, 1006.628967, -5195.644043
2709.597656, 1003.228027, -5244.250977
2680.133057, 988.544678, -5342.430176
2665.423340, 974.574707, -5430.712402
2606.497070, 958.192688, -5560.842285
2597.085938, 955.148987, -5592.773438
2591.561523, 953.345642, -5624.708008
2597.940430, 954.499756, -5668.632324
2614.685303, 955.887390, -5694.974609
2642.374023, 955.045410, -5717.072266
2682.871094, 950.856567, -5733.514648
2716.534180, 946.930481, -5739.348145
2773.439209, 939.598938, -5749.347168
2812.145508, 934.306458, -5760.579590
2864.289063, 926.889893, -5783.520020
2910.098877, 918.014282, -5823.924805
2944.324707, 909.583679, -5865.297363
2966.604004, 903.125977, -5901.318359
2994.619873, 894.055481, -5954.621094
3015.478760, 886.220032, -6002.407227
3032.028076, 879.114746, -6046.684570
3046.606934, 870.528015, -6101.327637
3057.578125, 851.736450, -6236.729492
3049.104492, 847.608276, -6266.573242
3036.392578, 843.003296, -6293.860352
3016.800781, 837.074585, -6316.593262
2986.390381, 830.602295, -6331.618164
2955.186035, 825.350098, -6332.735840
2919.871826, 819.940735, -6331.901367
2868.205322, 812.038757, -6336.587891
2835.996826, 807.171387, -6347.784180
2793.187012, 801.931946, -6368.082031
2729.023682, 791.826721, -6386.249023
2702.262451, 785.247864, -6374.882324
2623.780762, 761.962585, -6307.913574
2586.866211, 750.736572, -6285.007813
2558.095459, 741.989746, -6266.925293
2525.488525, 732.778442, -6253.873047
2475.526367, 719.210693, -6255.157227
2447.802490, 713.986389, -6267.946777
2422.535645, 711.285950, -6295.674316
2414.341064, 707.824280, -6328.384766
2425.151367, 700.688049, -6373.009766
2443.297363, 694.365112, -6410.559082
2463.779541, 687.742676, -6450.887695
2495.007080, 678.376831, -6510.036621
2496.777832, 673.197144, -6582.378906
2479.546387, 674.734436, -6610.213379
2450.871338, 673.989197, -6625.650879
2409.874756, 672.013428, -6624.645020
2374.627930, 668.040833, -6608.383301
2344.792969, 661.776367, -6583.269043
2304.303223, 651.274597, -6538.062988
2258.870117, 639.438904, -6486.897461
2194.875488, 628.828186, -6441.037109
2161.037598, 629.206360, -6433.168457
2152.504395, 629.102722, -6427.237305
2130.614014, 626.576782, -6398.616211
2111.182861, 622.178894, -6375.740234
2077.004395, 614.943420, -6344.736816
1987.460693, 596.072021, -6262.287109
1925.709229, 582.931824, -6196.751953
1910.679688, 579.498230, -6175.597656
1888.281372, 574.761780, -6136.663574
1873.664795, 572.404907, -6099.098145
1867.852295, 571.494080, -6059.666992
1866.561035, 570.642151, -6005.997070
1872.388184, 569.079651, -5945.421875
1907.622559, 565.177917, -5826.032227
1918.475464, 561.792236, -5786.960449
1936.888184, 553.953552, -5734.087402
1952.582275, 545.845337, -5689.032227
1965.299072, 539.036743, -5652.515625
1983.634155, 528.850403, -5597.113770
2057.205322, 498.011383, -5410.157715
2075.113770, 493.538452, -5376.604004
2103.111084, 486.753723, -5324.137695
2125.172363, 481.499817, -5281.657227
2151.019775, 474.838501, -5223.495117
2169.207275, 469.396271, -5167.895020
2174.800537, 466.605621, -5124.553223
2172.272949, 465.256317, -5079.737793
2089.991211, 465.088989, -4942.997070
2069.273438, 465.179199, -4938.018555
2044.385132, 464.453522, -4941.240234
2021.400635, 461.765717, -4956.006348
2010.255127, 457.703247, -4983.347656
1987.619385, 439.165619, -5117.501953
1976.641113, 430.514221, -5178.161621
1949.578857, 421.188873, -5231.412598
1930.729248, 416.642487, -5253.244141
1880.696411, 407.720978, -5299.317871
1845.758179, 403.839752, -5325.080566
1818.160400, 401.428314, -5343.880371
1757.531250, 397.046448, -5383.255371
1724.545898, 395.437744, -5414.930664
1694.666138, 395.383606, -5461.522461
1663.626587, 395.606171, -5576.239746
1658.836426, 395.735352, -5660.099121
1624.703491, 395.734375, -6107.852539
1614.400879, 395.733704, -6246.173340
1610.602783, 395.733704, -6292.947754
1605.137085, 395.733704, -6360.256836
1600.884033, 395.733704, -6412.633301
1595.198608, 395.731354, -6482.645508
1592.500977, 394.956787, -6515.867188
1591.932617, 391.980988, -6576.400879
1600.152588, 383.741089, -6619.378418
1613.003296, 373.141846, -6668.232422
1625.277954, 362.921173, -6711.880371
1679.158691, 338.430389, -6803.375000
1725.470947, 325.314514, -6839.340332
1769.434570, 313.555573, -6866.958984
1848.280762, 294.365997, -6925.817383
1858.232788, 293.339783, -6946.827637
1866.456421, 292.699097, -6992.711426
1871.027588, 281.034424, -7053.726074
